count	action	text	source
5	set	RIf this option is set, LabVIEW will show the login prompt when LabVIEW is started.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48277
5	set	Set High LS to 1000VHD u3	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:576688
5	set	Set High LS to 33.0VHD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:576637
5	set	Set High LS to 500VHD t3	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:576668
5	set	Set Low LS to 16VHD`p3	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:576593
5	set	Set Low LS to 32VHDHq3	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:576612
5	set	Set Pass/ Fail Indicator and make it visible m	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:559827
5	set	Set Pass/Fail Button to invisibleH	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:559797
5	set	Set Voltage on UUTHD4Z3	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:553383
5	set	This is the default for the VI Setup of new VIs. If a VI has this option set, LabVIEW will add an entry to the VI's history every time it is saved, even if you do not enter a comment.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48271
5	set	This is the default for the VI Setup of new VIs. If a VI has this option set, LabVIEW will prompt you for a comment to add to the history whenever the VI is closed.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48272
5	set	This is the default for the VI Setup of new VIs. If a VI has this option set, LabVIEW will prompt you for a comment to add to the history whenever the VI is saved.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48273
5	set	Uadvisory dialog? Set TRUE (default) if you want a dialog if the file does not exist.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:506089
5	set	stack crawl? (set edx to 1 and continue...)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:46155
5	press	6) Press ENTER when ready, choose test to perform and press START.S	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:307028
5	press	6) Press ENTER when ready, choose test to perform and press START.[	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:442590
5	press	Press 'Enter' when finished.H	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:380937
5	press	Press 'Enter' when ready.OD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:311229
5	press	Press 'Enter' when ready.SE	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:437869
5	press	This box is where you enter a comment describing the changes you have made to the VI. When you are ready to add the comment to the history, press the Add button or select Add from the History menu.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48195
5	select	4604 Measure volts, amps, or ohms. Select one of 6 functions. Select range or use auto range. Select trigger mode. Slow reading rate is used for accuracy. version a.0	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:417589
5	select	47d0 Select measurement function.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:417591
5	select	A Case structure with an enumerated value wired to its selector terminal must have one subdiagram per item in the enumeration. Pop up on the Case structure border and select Add Case or Remove Case as needed.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52532
5	select	Select Swap to exchange minimum and maximum, or Cancel to enter new values.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52110
5	select	Select a library:,Choose a directory in which to save %p "%p":	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52239
5	select	The library specified for this node cannot be found. Pop up on the Call Library Function node and select Configure..., then choose the correct library name or path.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52541
5	select	There are currently %ld VIs with unsaved changes remaining to be removed from memory. To avoid this dialog for these VIs, select either Yes to All or No to All.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52243
5	select	There is no function name specified for this node. Pop up on the Call Library Function node and select Configure..., then choose a function name.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52540
5	select	There is no library specified for this node. Pop up on the Call Library Function node and select Configure..., then choose a library name or path.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52539
5	select	This platform does not support the type of one of the function parameters. Pop up on the Call Library Function node and select Configure... to set a valid type.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52544
5	select	This wire segment is not connected to anything. Select Remove Bad Wires from the Edit menu to delete all wires that are disconnected or bad.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52515
5	select	file path is the path name of the file. If file path is empty (default value) or is Not A Path, the VI displays a File dialog box from which you can select a file. Error 43 occurs if the user cancels the dialog. <#	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:506082
5	select	p is an existing %p.3An error occurred while listing the contents of %p..You must select something in the directory %p.ULabVIEW cannot save to path %p because it is not an existing directory or VI library.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52214
5	select	vThis button lets you select a directory with the file dialog box. The selected directory is placed in the	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48233
5	choose	CCCPlease choose the file containing the capacitance calibration data.O	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:404953
5	choose	CCCPlease choose the file containing the capacitance calibration data.V	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:363277
5	choose	Choose a code resource .c file:	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52224
5	choose	Choose a code resource file:	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52225
5	choose	Choose a replacement file:	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52231
5	choose	Choose file to write.RD	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:370597
5	choose	Choose the VI to open: Name the VI:3Choose a directory of VIs or VI library to compile:+Please find the file of type %4c named "%p"CChoose a picture file to open (it will be placed on the clipboard):	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52228
5	choose	Name the VI history file:!Choose a directory or VI library:	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52238
5	choose	Out of memory. Please free some memory, then choose retry.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:45798
5	load	Cannot load connector pane.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52048
5	load	Could not load block diagram.'Block diagram load detected link error.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52411
5	load	Could not load front panel.%Front panel load detected link error..Could not load block diagram link information.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52410
5	load	LabVIEW load error code %ld: %p,Could not load front panel link information.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52409
5	load	can't load vi:%p, gLVLoadErrorCode = 0x%lx	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48021
5	power	LC103 Power Board Test	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:576352
5	power	Power Board test Version.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:343570
5	power	Power Board test VersionP	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:475319
5	power	Power Up Unit w/ Batt. vlt.H	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:576585
5	open	DoRunCommand: "%p" can not be run. fpHeap not open	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:47001
5	open	VI's front panel is not open.1VI contains one or more invalid Type Definitions.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52044
5	open	ae57 Open GPIB Driver.vi	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:582054
5	open	c2e3 Open GPIB Driver.vi	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:325290
5	open	cfef Open GPIB Driver.vi	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:293146
5	close	Close the specified VI	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48169
5	close	This button will add the comment from the comment box to the history and close the dialog. It is the same as hitting the Add button and then closing the dialog.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:48188
5	continue	Click in window to continue.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:46979
5	continue	Do you want to continue?	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:51890
5	continue	Do you want to continue?aRemoving this Case Structure will delete all objects in the other cases.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:51889
5	disconnect	Disconnect from Type Def.	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:51803
5	disconnect	Replace the original control "%p" with "%p"?;Disconnect the control "%p" from its Type Definition, "%p"?	/Users/<user>/LC103/2026-02-24_full_decompile_run2/notes/all_strings_offsets.txt:52113
4	adjust	L67443: `>>>Adjust R1144 for the number`	/Users/<user>/LC103/software_decompile_2026-02-24/labview_extract/LC103_EXHAUSTIVE_OPERATOR_PROMPT_AUDIT_2026-02-24.md:210
4	adjust	L67449: `AABNow adjust R1005 for the number`	/Users/<user>/LC103/software_decompile_2026-02-24/labview_extract/LC103_EXHAUSTIVE_OPERATOR_PROMPT_AUDIT_2026-02-24.md:212
4	adjust	L67542: `RIN>Adjust R1144 for the number`	/Users/<user>/LC103/software_decompile_2026-02-24/labview_extract/LC103_EXHAUSTIVE_OPERATOR_PROMPT_AUDIT_2026-02-24.md:221
4	adjust	L67545: `RINBNow adjust R1005 for the number`	/Users/<user>/LC103/software_decompile_2026-02-24/labview_extract/LC103_EXHAUSTIVE_OPERATOR_PROMPT_AUDIT_2026-02-24.md:223
4	switch	WARNING: This code block may not be properly labeled as switch case */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:93565
4	short	CONCAT22((short)((uint)*(int *)(local_10 + 6) >>	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:325881
4	short	CONCAT22((short)((uint)*(undefined2 **)(local_10 + 6)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:325854
4	short	HWND__ *,short,unsigned long) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:239718
4	short	Str + (short)((short)sVar6 + 5),10);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:310653
4	short	Str + (short)((short)sVar6 + 6),10);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:310647
4	short	UVar1 = (UINT)(short)((short)UVar1 + 2 + (short)iVar2);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:234081
4	short	bVar1 = (short)uVar5 < 0 || bVar1;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:230028
4	short	bVar1 = sVar9 < (short)iVar7;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:325414
4	short	bVar10 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:229983
4	short	bVar11 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:229990
4	short	bVar12 = (short)local_8 == 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:347783
4	short	bVar12 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:229998
4	short	bVar13 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:230007
4	short	bVar15 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:229948
4	short	bVar16 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:229955
4	short	bVar4 = (short)iVar8 < (short)local_10;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:92152
4	short	bVar5 = (short)uVar4 == 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:85701
4	short	bVar7 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:229962
4	short	bVar8 = (short)local_10 == 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:171412
4	short	bVar8 = (short)local_c == 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:347147
4	short	bVar8 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:229969
4	short	bVar9 = (short)uVar5 < 0;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:229976
4	short	char *,short,long,long,unsigned long *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:13355
4	short	char *,short,long,unsigned long *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:13333
4	short	double,double,short,struct HWND__ *,short,unsigned long) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:239677
4	short	double,double,short,unsigned long,unsigned long,unsigned long,struct HWND__ *,short,unsigned	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:239655
4	short	float *,unsigned short *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:14120
4	short	iVar10 = (int)(short)(sVar15 + -1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:67293
4	short	iVar10 = (short)local_20 * 8;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:319438
4	short	iVar10 = (short)uVar11 + iVar3;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:113131
4	short	iVar11 = (int)(short)((short)uVar2 + -1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:328797
4	short	iVar11 = (short)local_24 * 9;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:318776
4	short	iVar12 = (short)uVar10 + -1;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:52077
4	short	iVar13 = (int)(short)uVar9 << 1;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:77739
4	short	iVar14 = (short)local_1c * 2;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:77826
4	short	iVar2 = ((int)(short)local_8 - (int)sVar1) + 1;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:130863
4	short	iVar2 = (int)(short)(sVar1 + -1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:85690
4	short	iVar2 = Ordinal_64(local_10,(int)(short)in_ECX[1],&local_14), iVar2 != 0)) ||	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:169565
4	short	iVar4 = (int)(short)local_c + uVar6;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:113774
4	short	iVar4 = (short)local_c * 2;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:208123
4	short	iVar5 = (short)((short)uVar2 + -1) * 4;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:69507
4	short	iVar6 = (int)(short)(sVar1 + -1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:253540
4	short	iVar6 = (int)(short)(sVar5 + -1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:277153
4	short	iVar6 = (int)*(short *)(iVar5 + 8);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:96031
4	short	iVar6 = (short)local_10 + -1;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:271786
4	short	iVar7 = (int)*(short *)(iVar3 + 6);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:321356
4	short	iVar7 = (short)iVar10 + iVar2;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:322783
4	short	iVar7 = (short)local_20 * 2;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:341046
4	short	iVar8 = (short)local_1c * 8;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:325374
4	short	iVar8 = (short)local_20 * 8;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:319138
4	short	iVar8 = (short)local_34 * 8;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:325106
4	short	int *)pdVar10 = (int)*(short *)(_Src + 2);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:221828
4	short	int)(short)(local_2c[local_14] & local_30) <<	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:270818
4	short	int)(short)local_78,*(undefined4 *)(local_3c + 5),uVar3);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:264062
4	short	int)*(short *)(in_ECX + 4),bVar8,&local_c);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:171422
4	short	itoa((int)(short)(((ushort)uVar8 & 3) + sVar4 * 4),_Str + (short)((short)sVar6 + 1),10);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:310583
4	short	itoa((int)sVar4,_Str + (short)((short)sVar6 + 1),10);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:310589
4	short	local_10 = CONCAT22(local_10._2_2_,(short)local_10 + 1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:285125
4	short	local_14 = (short *)((int)local_14 + 1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:77775
4	short	local_14 = (short)local_14 * 4;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:314783
4	short	local_14 = (uint)(ushort)((short)local_14 + 1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:270250
4	short	local_18 = (short)local_10 * 8;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:321161
4	short	local_18 = (short)uVar4 * 4;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:329814
4	short	local_1c = (short *)(&DAT_2120f8de + iVar17);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:62474
4	short	local_20 = (uint)*(short *)(*local_2c + 6);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:300547
4	short	local_24 = (short *)((int)local_24 + 1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:92501
4	short	local_28 = (short)uVar14 + uVar9 * 4;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:254729
4	short	local_34 = (short *)(&DAT_2120f8de + iVar1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:88558
4	short	local_34 = (short)uVar24 + sVar12 * 4;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:252864
4	short	local_3c = (int)(short)local_30 << 2;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:325111
4	short	local_44 = (short *)((int)local_38 + 2);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:325935
4	short	local_44 = (short *)((int)local_44 + 1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:325931
4	short	local_48 = (int)(short)(sVar7 + 1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:72243
4	short	local_6c = (short)sVar2 + 1;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:276365
4	short	local_8 = local_8 + (short)iVar6;	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:114818
4	short	local_c = (short *)(&DAT_2120f8de + iVar3);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:250867
4	short	local_c = (short *)((int)local_c + 1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:254747
4	short	local_c = *(int *)(piVar4[3] + (short)local_14 * 4);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:314760
4	short	local_c = *(short **)(puVar5 + 1);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:329819
4	short	local_c = abs((int)(short)local_10 - (int)(short)local_8);	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:301102
4	short	long,double,double *,short *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:242132
4	short	long,double,unsigned short,char *,short,unsigned long *,unsigned short *,double *,char *,short	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:243122
4	short	long,float *,float *,float *,unsigned short *,float *,unsigned short *,unsigned short *,float	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:12421
4	short	long,float,long,long *,short *,long *,long *,long *,long *,long *,long *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:13553
4	short	long,long,char *,long,unsigned short,float,long *,long *,long *,unsigned short *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:13290
4	short	long,long,char *,unsigned long *,unsigned long *,unsigned long *,short *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:241454
4	short	long,long,long,short *,long *,double *,double *,double *,double *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:242493
4	short	long,long,long,unsigned short,float,long *,long *,unsigned short *,long *,unsigned char *,long *)	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:13266
4	short	long,long,long,unsigned short,unsigned long,unsigned long *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:12498
4	short	long,long,unsigned long *,long,class IWaves * *,long,unsigned long,long,unsigned short,unsigned	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:14222
4	short	long,long,unsigned long *,long,long,float *,long,short *,long,unsigned long,long,unsigned	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:14193
4	short	long,long,unsigned short,unsigned short,char *,float,float,short,float,long,unsigned short,float	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:14039
4	short	long,long,unsigned short,unsigned short,float,float,short,float,long,unsigned short,float *,float	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:14091
4	short	long,short *,short *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:13980
4	short	long,short,char *,long *,unsigned long *) */	/Users/<user>/LC103/2026-02-24_full_decompile_run2/ghidra/Final_Cal_nidaq_dll_decomp_full.txt:14896
