from,to,type
1000:f3c6,1000:f3cd,"CONDITIONAL_JUMP"
1000:f3ca,1000:f4ae,"UNCONDITIONAL_JUMP"
1000:f3d2,1000:f3c8,"CONDITIONAL_JUMP"
1000:f3db,1000:f3c8,"CONDITIONAL_JUMP"
1000:f3e3,1000:f3ec,"CONDITIONAL_JUMP"
1000:f3f0,1030:0820,"UNCONDITIONAL_CALL"
1000:f3f9,1000:f3c8,"CONDITIONAL_JUMP"
1000:f400,1000:f3c8,"CONDITIONAL_JUMP"
1000:f407,1000:f40e,"CONDITIONAL_JUMP"
1000:f40b,1000:f4ae,"UNCONDITIONAL_JUMP"
1000:f416,1000:f41f,"UNCONDITIONAL_JUMP"
1000:f41a,1000:f423,"CONDITIONAL_JUMP"
1000:f421,1000:f418,"CONDITIONAL_JUMP"
1000:f425,1000:f451,"CONDITIONAL_JUMP"
1000:f435,1000:f445,"CONDITIONAL_JUMP"
1000:f443,1000:f44b,"UNCONDITIONAL_JUMP"
1000:f44f,1000:f477,"UNCONDITIONAL_JUMP"
1000:f456,1000:f460,"CONDITIONAL_JUMP"
1000:f45e,1000:f466,"UNCONDITIONAL_JUMP"
1000:f481,1000:f48c,"CONDITIONAL_JUMP"
1000:f487,1000:f48c,"CONDITIONAL_JUMP"
1000:f4a8,1000:e9b8,"UNCONDITIONAL_CALL"
1000:f4ca,1000:f7e5,"UNCONDITIONAL_CALL"
1000:f4e6,1000:f024,"UNCONDITIONAL_CALL"
1000:f4fb,1000:f024,"UNCONDITIONAL_CALL"
1000:f5ea,1000:f5f1,"CONDITIONAL_JUMP"
1000:f5ee,1000:f6aa,"UNCONDITIONAL_JUMP"
1000:f5f8,1000:f5fd,"CONDITIONAL_JUMP"
1000:f608,1000:f60d,"CONDITIONAL_JUMP"
1000:f61c,1000:f618,"CONDITIONAL_JUMP"
1000:f620,1030:0844,"UNCONDITIONAL_CALL"
1000:f629,1000:f5ec,"CONDITIONAL_JUMP"
1000:f62c,1030:0850,"UNCONDITIONAL_CALL"
1000:f637,1000:f645,"CONDITIONAL_JUMP"
1000:f63b,1000:f645,"CONDITIONAL_JUMP"
1000:f63e,1030:084c,"UNCONDITIONAL_CALL"
1000:f643,1000:f5ec,"UNCONDITIONAL_JUMP"
1000:f6ce,1000:f71e,"CONDITIONAL_JUMP"
1000:f6d6,1000:f6db,"CONDITIONAL_JUMP"
1000:f6df,1000:f6e5,"CONDITIONAL_JUMP"
1000:f6f0,1000:f6f5,"CONDITIONAL_JUMP"
1000:f702,1000:f70e,"CONDITIONAL_JUMP"
1000:f709,1000:f71e,"CONDITIONAL_JUMP"
1000:f711,1000:f721,"CONDITIONAL_JUMP"
1000:f717,1000:f721,"CONDITIONAL_JUMP"
1000:f71c,1000:f727,"UNCONDITIONAL_JUMP"
1000:f71e,1000:f7d6,"UNCONDITIONAL_JUMP"
1000:f725,1000:f71e,"CONDITIONAL_JUMP"
1000:f72a,1030:085c,"UNCONDITIONAL_CALL"
1000:f731,1000:f71e,"CONDITIONAL_JUMP"
1000:f73f,1000:f73b,"CONDITIONAL_JUMP"
1000:f747,1030:0848,"UNCONDITIONAL_CALL"
1000:f74e,1000:f71e,"CONDITIONAL_JUMP"
1000:f774,1000:f793,"CONDITIONAL_JUMP"
1000:f7ac,1000:f7ba,"CONDITIONAL_JUMP"
1000:f7d4,1000:f7d8,"UNCONDITIONAL_JUMP"
1000:f827,1000:efaa,"UNCONDITIONAL_CALL"
1008:3fbc,1030:0844,"UNCONDITIONAL_CALL"
1008:3fc8,1008:3fee,"CONDITIONAL_JUMP"
1008:3fcb,1030:0850,"UNCONDITIONAL_CALL"
1008:3fda,1030:081c,"UNCONDITIONAL_CALL"
1008:3fe3,1030:09a0,"UNCONDITIONAL_CALL"
1008:3ff9,1030:09ac,"UNCONDITIONAL_CALL"
1008:4002,1030:0854,"UNCONDITIONAL_CALL"
1008:400b,1030:09ec,"UNCONDITIONAL_CALL"
1008:4014,1030:084c,"UNCONDITIONAL_CALL"
1008:4052,1030:0828,"UNCONDITIONAL_CALL"
1008:4362,1008:4046,"UNCONDITIONAL_CALL"
1008:43f6,1008:4406,"CONDITIONAL_JUMP"
1008:43fb,1008:4406,"CONDITIONAL_JUMP"
1008:4400,1008:4406,"CONDITIONAL_JUMP"
1008:4598,1008:459c,"CONDITIONAL_JUMP"
1008:47a4,1008:47a8,"CONDITIONAL_JUMP"
1008:4877,1030:0308,"UNCONDITIONAL_CALL"
1008:48ef,1008:48fd,"CONDITIONAL_JUMP"
1008:48f5,1030:0924,"UNCONDITIONAL_CALL"
1008:4902,1008:4910,"CONDITIONAL_JUMP"
1008:4909,1008:4868,"UNCONDITIONAL_CALL"
1008:490e,1008:492e,"UNCONDITIONAL_JUMP"
1008:4918,1030:0894,"UNCONDITIONAL_CALL"
1008:4924,1008:492e,"CONDITIONAL_JUMP"
1008:49a3,1008:49b1,"CONDITIONAL_JUMP"
1008:49a9,1030:0924,"UNCONDITIONAL_CALL"
1008:49b6,1008:49c4,"CONDITIONAL_JUMP"
1008:49bd,1008:4868,"UNCONDITIONAL_CALL"
1008:49c2,1008:49e2,"UNCONDITIONAL_JUMP"
1008:49cc,1030:0894,"UNCONDITIONAL_CALL"
1008:49d8,1008:49e2,"CONDITIONAL_JUMP"
1008:4bbf,1008:4bcd,"CONDITIONAL_JUMP"
1008:4bc5,1030:0924,"UNCONDITIONAL_CALL"
1008:4bd2,1008:4be0,"CONDITIONAL_JUMP"
1008:4bd9,1008:4868,"UNCONDITIONAL_CALL"
1008:4bde,1008:4bfe,"UNCONDITIONAL_JUMP"
1008:4be8,1030:0894,"UNCONDITIONAL_CALL"
1008:4bf4,1008:4bfe,"CONDITIONAL_JUMP"
1008:4c66,1008:4c71,"CONDITIONAL_JUMP"
1008:4c6c,1030:0928,"UNCONDITIONAL_CALL"
1008:4c76,1008:4c81,"CONDITIONAL_JUMP"
1008:4c7c,1030:0928,"UNCONDITIONAL_CALL"
1008:4c86,1008:4c91,"CONDITIONAL_JUMP"
1008:4c8c,1030:0928,"UNCONDITIONAL_CALL"
1008:4c96,1008:4ca1,"CONDITIONAL_JUMP"
1008:4c9c,1030:0928,"UNCONDITIONAL_CALL"
1008:4ca6,1008:4cb1,"CONDITIONAL_JUMP"
1008:4cac,1030:0928,"UNCONDITIONAL_CALL"
1008:4cb6,1008:4cc1,"CONDITIONAL_JUMP"
1008:4cbc,1030:0928,"UNCONDITIONAL_CALL"
1008:4cc6,1008:4cd1,"CONDITIONAL_JUMP"
1008:4ccc,1030:0928,"UNCONDITIONAL_CALL"
1008:4cd6,1008:4ce1,"CONDITIONAL_JUMP"
1008:4cdc,1030:0928,"UNCONDITIONAL_CALL"
1008:4ce6,1008:4cf1,"CONDITIONAL_JUMP"
1008:4cec,1030:0928,"UNCONDITIONAL_CALL"
1008:4cf6,1008:4d01,"CONDITIONAL_JUMP"
1008:4cfc,1030:0928,"UNCONDITIONAL_CALL"
1008:4d06,1008:4d11,"CONDITIONAL_JUMP"
1008:4d0c,1030:0928,"UNCONDITIONAL_CALL"
